pmid,HGNC
12952568,APC
12957243,ESR1
12957262,FH
12957396,CTLA4
12957396,APC
12960113,IGF1
12960113,FAT1
12960119,KIT
12960124,VEGFA
12960124,EGFR
12960124,PTEN
12960184,DNMT1
12960516,RASA1
12960519,ESR1
12960907,RASA1
12963734,FANCA
12963734,FH
12969976,CTLA4
12969976,FH
12969977,RTEL1
12972530,CTLA4
12973027,NR4A3
12973027,HLA-C
12973732,DNMT1
12973833,BCR
12973833,ABL1
12973843,ESR1
13129557,VEGFA
13129557,DNMT1
13678720,PGR
13678720,DNMT1
13678720,ESR1
13678720,ABL1
13678720,KIT
13678720,ERBB2
13678723,NR4A3
13678736,MET
13679862,CTLA4
13679862,FH
13679862,XIAP
13679862,AKT1
13680158,MAX
13680159,CTLA4
14500382,BCR
14500382,ETV6
14500382,FOXO1
14500382,AKT1
14500382,MET
14500382,ABL1
14500395,RET
14500395,NTRK1
14501388,KIT
14501502,DNMT1
14501508,RARA
14501508,CDKN2A
14501508,APC
14502226,CTLA4
14504104,BCR
14504104,ABL1
14504104,CTLA4
14504104,CALR
14506145,MAX
14506170,EGFR
14508103,AKT1
14508361,CTLA4
14508361,HLA-C
14508784,VEGFA
14508784,CTLA4
14508819,RASA1
14508830,BCR
14510178,ERBB2
14512191,CALR
14512314,NR4A3
14512314,DDX3X
14514977,PGR
14518069,PTEN
14518069,STK11
14519630,REST
14519652,EGFR
14519652,CTLA4
14520694,MSH2
14521420,SDHB
14522256,MYC
14522919,PPARG
14525766,PGR
14525766,CTLA4
14526102,ERBB2
14526373,PTEN
14527906,APC
14528287,EGFR
14529091,MET
14529091,KIT
14530882,ARID1B
14532793,MET
14533451,DNMT1
14534882,PGR
14534882,VEGFA
14534882,ESR1
14551133,BCR
14551133,ABL1
14551301,CTLA4
14551341,CYP19A1
14556680,DDIT3
14556680,RTEL1
14557375,MYC
14557473,VHL
14557473,SDHD
14557473,NTRK1
14557473,RET
14557473,SDHB
14559814,MET
14559844,CTLA4
14559844,HLA-C
14559878,BRCA1/2
14559878,FANCA
14560573,CTLA4
14561744,INSR
14562039,XIAP
14562039,NFKBIA
14562039,FH
14562277,EGFR
14562277,CTLA4
14566704,PTEN
14566704,AKT1
14569854,CTLA4
14570950,EGFR
14571418,AR
14571418,AKT1
14576473,MSH2
14576841,ESR1
14576841,NPM1
14576841,NR4A3
14576846,BCR
14576846,ABL1
14578146,FAT1
14581348,VEGFA
14581348,NR4A3
14581427,BRCA1/2
14584065,NR4A3
14584073,BCR
14585357,MYC
14585357,CDKN2A
14586215,PGR
14586557,NR4A3
14587860,CYP19A1
14587863,ESR1
14587863,ERBB2
14587863,AKT1
14595012,AKT1
14596703,NR4A3
14596703,SDHB
14599873,DNMT1
14599875,POLE
14600090,ACTG1
14603443,RASA1
14603541,ARID1A
14604977,BCR
14605627,CTLA4
14605627,KIT
14605666,ATR
14605666,ATM
14605666,PTEN
14605666,AKT1
14606365,CTLA4
14612521,YY1
14612521,DNMT1
14612521,APC
14613030,BCR
14613030,ABL1
14613030,KIT
14613033,IGF1
14613033,INSR
14613037,SRC
14614002,NR4A3
14614003,CTLA4
